zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry,address2,symbol,compensationAsOfEpochDate
15133,Consumer Cyclical,31504.0,"PT Pan Brothers Tbk, together with its subsidiaries, manufactures and sells garments in the United States, Europe, Asia, and internationally. It offers woven garments, such as ultra light downs, parkas, and bottoms; technical, functional, and active wear jackets, as well as outer wear suits for snow boarding, skiing, jogging, hiking, other sports, and outdoor activities; and cut and sewn knit garments for life style wear and sportswear, as well as various fabric products. The company also provides garment printing services; and various sewing and embroidery thread solutions. PT Pan Brothers Tbk was founded in 1980 and is headquartered in Tangerang, Indonesia.",Tangerang,62 21 590 0718,Indonesia,https://www.panbrotherstbk.com,86400,Jl. Siliwangi No. 178,62 21 590 0717,Apparel Manufacturing,Jatiuwung,PBRX.JK,
14110,Industrials,72.0,"PT Indonesia Kendaraan Terminal Tbk provides car terminal services in Indonesia. The company offers terminal handling services, including stevedoring, cargodoring, receiving, and delivery; and value-added services, such as repairing, painting, engine repair, accessories installation, washing, spare part management, marking and labeling, pre-shipment inspection, port stock, and port to door services. It also provides sea toll services. The company was founded in 2012 and is based in North Jakarta, Indonesia. PT Indonesia Kendaraan Terminal Tbk is a subsidiary of PT Pelabuhan Indonesia II.",Jakarta Utara,62 21 4393 2251,Indonesia,https://indonesiacarterminal.co.id,86400,Jl. Sindang Laut No. 100,62 21 4393 2250,Integrated Freight & Logistics,Cilincing,IPCC.JK,1640908800.0
11480,Technology,167.0,"PT Communication Cable Systems Indonesia Tbk manufactures and sells fiber optic telecommunications cables in Indonesia and internationally. The company also produces submarine cables; indoor, outdoor, and special cables; HDPE pipes; and accessories. It serves internet and telecommunication, oil and gas, power utility, railway transport authority, and private industries. The company was formerly known as PT. Siemens Kabel Optik. PT Communication Cable Systems Indonesia Tbk was founded in 1995 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 2986 5963,Indonesia,https://www.ccsi.co.id,86400,Grand Slipi Tower,62 21 2986 5984,Communication Equipment,45th Floor Unit FGHIJK Jl. Letnan Jendral S. Parman Kav 22-24 Palmerah,CCSI.JK,
,Consumer Cyclical,923.0,"PT Sunson Textile Manufacturer Tbk manufactures and sells yarn, fabric, and other textile products in Indonesia. The company operates in three segments: Spinning, Weaving, and Others. It is involved in general trading activities. The company also exports its products to Europe, America, rest of Asia, and Africa. PT Sunson Textile Manufacturer Tbk was founded in 1972 and is headquartered in Bandung, Indonesia.",Bandung,62 22 779 8289,Indonesia,https://www.sunson.co.id,86400,Jl. Ranggamalela No. 27,62 22 779 8301,Textile Manufacturing,,SSTM.JK,
20231,Basic Materials,1137.0,"PT Toba Pulp Lestari Tbk produces and sells pulp. It manages industrial forest plantations. The company was formerly known as PT Inti Indorayon Utama Tbk and changed its name to PT Toba Pulp Lestari Tbk in August 2001. The company was founded in 1983 and is based in Medan, Indonesia. PT Toba Pulp Lestari Tbk is a subsidiary of Pinnacle Company Pte. Ltd.",Medan,62 61 453 2088,Indonesia,https://www.tobapulp.com,86400,"Gedung Uniplaza, East Tower",62 61 453 0967,Paper & Paper Products,Lantai 3 Jl. Letjen. Haryono Mt No. A-1,INRU.JK,
12930,Industrials,40.0,"PT GTS Internasional Tbk engages in the sea transportation and other related activities. It operates through three segments: LNG Transportation, LNG Storage & Regasification, and Ship Management. The company transports liquefied natural gas; and provides ship management services, such as preparation, monitoring, and recording ship operation plans; preparation, monitoring, reporting, and finalizing ship budgets; monitoring and implementing the plan maintenance program and ship docking schedule; providing training and education to the ship crew; and preparation, monitoring, and reporting obligation on tax and financial audits. It also engages in the liquefied gas processing services. The company is headquartered Jakarta, Indonesia. PT GTS Internasional Tbk operates as a subsidiary of PT Hateka Trans Internasional.",Jakarta,62 21 5093 3163,Indonesia,https://www.gtsi.co.id,86400,Mangkuluhur City Tower One,62 21 5093 3163,Marine Shipping,Lantai 26 Jl. Jend. Gatot Subroto Kav. 1-3,GTSI.JK,
12810,Technology,42.0,"PT Trimegah Karya Pratama Tbk, a technology company, engages in the manufacture and distribution of shopping vouchers and gift cards. It offers physical and digital vouchers through Ultra Voucher app and gift cards. The company allows users to give purchased vouchers to other users as gifts. Its vouchers cover various merchant categories, such as beauty and relaxation; department store; e-commerce; entertainment; food and beverage; hotel and travel; accessories and jewelry; lifestyle; and investment and others. The company was founded in 2017 and is headquartered in Jakarta Selatan, Indonesia. PT Trimegah Karya Pratama Tbk is a subsidiary of PT Trimegah Sumber Mas.",Jakarta Selatan,62 21 2200 8385,Indonesia,https://ultravoucher.co.id,86400,"Jl. Tebet Barat IX, No. 35BB",,Software—Application,Tebet Barat,UVCR.JK,
16517,Real Estate,22.0,"PT Pakuan, Tbk. operates as a property developer in the residential and commercial sectors in Indonesia. It also manages Sawangan golf courses; and hotels and resorts. The company was founded in 1971 and is headquartered in Depok, Indonesia. PT Pakuan, Tbk operates as a subsidiary of Pt Sawangan Investasi Indonesia.",Depok,62 21 515 4126,Indonesia,https://www.ptpakuan.com,86400,Jl. Raya Muchtar Sawangan,62 21 515 4128,Real Estate Services,RT 002 / RW 007 Kel. Sawangan Kec. Sawangan,UANG.JK,
13650,Industrials,2384.0,"PT Cardig Aero Services Tbk, together with its subsidiaries, engages in the ground handling, cargo handling, aircraft release and maintenance, catering, management facility, and aviation training businesses. The company's Ground Handling division offers passenger handling, including baggage and aircraft handling, ground support equipment usage, operation of business class lounge, and special assistance services. Its Cargo Handling division provides cargo buildup and breakdown, cargo documentation, cargo transfer and transit handling, cargo storage, and special cargo handling services. The company's Aircraft Release and Maintenance Service division provides repair and maintenance service for air transportation vehicles. Its Catering Services division offers food and catering services, as well as housekeeping, laundry, gardening, accommodation, transportation, and other services. The company's Management Facility division provides aircraft cleaning services, laundry services, security services, and other services to customers as per customers purchase order. Its Aviation Training division offers training facility services to provide flight simulators to aircraft pilot and other training services. PT Cardig Aero Services Tbk is also involved in management of airports; operation of restaurants; and investment activities. PT Cardig Aero Services Tbk was founded in 1984 and is headquartered in Jakarta Timur, Indonesia.",Jakarta Timur,62 21 8087 5050,Indonesia,https://casgroup.co.id,86400,Menara Cardig,62 21 8088 5001,Airports & Air Services,3rd Floor Jl. Raya Halim Perdanakusuma,CASS.JK,
11120,Real Estate,874.0,"PT Modernland Realty Tbk, together with its subsidiaries, develops and sells real estate properties in Indonesia. The company engages in the development of properties, facilities and infrastructure, industrial estates and warehouses, apartments, hotels, offices, shopping centers, buildings, roads, bridges, airports, and piers, as well as housing, and iron and steel construction. It is also involved in the installation of heavy building components; property rental and management, and construction support facilities; and trade related to real estate and property, as well as import and export, distribution, and agency activities. In addition, the company operates and manages golf courses, club house restaurants, and hotels, as well as offers hospitality, general contracting, and trading services. PT Modernland Realty Tbk was founded in 1983 and is based in Jakarta Barat, Indonesia.",Jakarta Barat,62 21 2936 5888,Indonesia,https://www.modernland.co.id,86400,Green Central City,62 21 2936 9999,Real Estate—Development,5th Floor Commercial Area Jalan Gajah Mada No. 188,MDLN.JK,
10350,Healthcare,676.0,"PT Diagnos Laboratorium Utama Tbk provides health services using laboratories in Indonesia. The company offers clinical pathology laboratory tests comprising hematology, hemostasis, clinical chemistry, urinalysis, biomolecular, immunology, microbiology, and anatomical pathology; anatomical pathology laboratory tests for examination of tissues and/or body fluids; and genomics laboratory tests comprising non-invasive prenatal testing, preimplantation genetic testing for aneuploidy services, and preimplantation genetic testing for monogenic diseases services. It also offers homecare health services for health checks that can be done at home; corporate health services; and covid-19 check-up services, as well as health care activities managed by the government and the private sector, such as pharmacy warehouses, eye banks, blood banks, sperm banks, organ transplant banks, and other health care services. The company was founded in 2007 and is headquartered in Jakarta Pusat, Indonesia.",Jakarta Pusat,62 21 3193 1833,Indonesia,https://diagnos.co.id,86400,Gedung Graha Anam Lantai 2,,Diagnostics & Research,"Jl. Cikditiro No. 11 A, B, C Kelurahan Gondangdia Kecamatan Menteng",DGNS.JK,
12950,Healthcare,1568.0,"PT Phapros, Tbk operates in the pharmaceutical and health care industry in Indonesia. The company operates through Over the Counter (OTC), Ethical, Generic Drugs Bearing, and Toll Manufacturing segments. It offers OTC drugs, including Antimo Anak, Livron B Plek, Noza, Hemorogard, Bioron, and others. The company also provides generic drug products for government institutions and hospitals, as well as produces drugs for other pharmaceutical industries; and offers medical devices. PT Phapros, Tbk also exports its products internationally. The company was founded in 1954 and is headquartered in Jakarta, Indonesia. PT Phapros, Tbk operates as a subsidiary of PT Kimia Farma (Persero) Tbk.",Jakarta,62 21 576 2709,Indonesia,https://www.phapros.co.id,86400,Rajawali Tower 17th Floor,62 21 576 3910,Drug Manufacturers—Specialty & Generic,17th Floor Jalan Denpasar Ide Anak Agung Gde Agung Kuningan,PEHA.JK,
60264,Consumer Defensive,3412.0,"PT Wismilak Inti Makmur Tbk engages in the manufacture and sale of in cigarettes in Indonesia. It offers hand-rolled and machine-rolled cigarettes, cigars, and cigarette filters. The company markets and sells its products under the Galan Kretek, Wismilak Spesial, Wismilak Slim, Wismilak Satya, Wismilak Diplomat, Diplomat Mild, Diplomat Mild Menthol, Diplomat Evo, Wismilak Premium Cigars, and Wismilak Premium Seleccion brands. PT Wismilak Inti Makmur Tbk was founded in 1962 and is headquartered in Surabaya, Indonesia.",Surabaya,62 31 295 2899,Indonesia,https://www.wismilak.com,86400,Grha Wismilak,62 31 295 2800,Tobacco,Jalan Dr. Soetomo 27,WIIM.JK,
12920,Consumer Cyclical,149.0,"PT Red Planet Indonesia Tbk, together with its subsidiaries, engages in the hospitality business in Indonesia. It owns and operates eight hotels located in Jakarta, Bekasi, Makassar, Palembang, Pekanbaru, Solo, Surabaya, and Bukittinggi. The company was formerly known as PT Pusako Tarinka Tbk and changed its name to PT Red Planet Indonesia Tbk in May 2014. PT Red Planet Indonesia Tbk was founded in 1989 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 2949 8800,Indonesia,https://www.redplanetindonesia.com,86400,Sona Topas Tower,62 21 2949 8889,Lodging,15A Floor Jl. Jenderal Sudirman Kav. 26,PSKT.JK,
16810,Real Estate,113.0,"PT Natura City Developments Tbk operates as a real estate company in Indonesia. The company develops residential real estate properties, shop houses, and commercial buildings. It also engages in the services, trade, industry, agriculture, mining, construction, and transportation fields. The company was incorporated in 2011 and is headquartered in Bogor, Indonesia.",Bogor,62 21 8795 3448,Indonesia,https://www.naturacity.co.id,86400,Sentul International Convention Center,62 21 8795 3449,Real Estate—Development,"3rd Floor SICC Tower Jln Jendral Sudirman No. 1, Sentul City",CITY.JK,
12910,Real Estate,363.0,"PT Suryamas Dutamakmur Tbk develops real estate properties in Indonesia. It is involved in the sale of land and houses; and operation of the golf courses, country clubs, hotels, and other resort facilities located in Rancamaya, Bogor, West Java. The company was founded in 1989 and is headquartered in Jakarta Selatan, Indonesia. PT Suryamas Dutamakmur Tbk is a subsidiary of Top Global Limited.",Jakarta Selatan,62 21 5793 6733,Indonesia,https://www.rancamaya.com,86400,Sudirman Plaza Business Complex,62 21 5793 6730,Real Estate—Development,16th Floor Plaza Marein Jalan Jenderal Sudirman Kavling 76-78,SMDM.JK,
41252,Consumer Defensive,27.0,"PT Indo Pureco Pratama Tbk, an agro-industrial company, produces pure, virgin, and crude coconut oil, as well as copra meal for healthcare, food, pharmaceutical, and cosmetic industries in Indonesia. The company was founded in 2019 and is headquartered in Subang, Indonesia.",Subang,62 260 424 7083,Indonesia,https://www.indopureco.com,86400,Batununggul 1,,Packaged Foods,Balingbing Kec. Pagaden Barat,IPPE.JK,
12190,Consumer Cyclical,1781.0,"PT Jakarta International Hotels & Development Tbk, through its subsidiaries, engages in the hotel and property businesses in Indonesia. It operates through Hotel, Real Estate, Telecommunication, and Hotel Management services. The Hotel segment owns and operates two hotels under the Hotel Borobudur Jakarta and Ritz-Carlton Pacific Place names. The Real Estate segment engages in the real estate development business and services, including the construction of office buildings, malls, apartments, commercial centers, and their facilities. The Telecommunication Services segment includes telephone, internet, leased circuits, managed service, and TV cable services. The Hotel Management Services segment manages and operates hotel borobudur jakarta, discovery kartika plaza hotel, palace hotel, and discovery ancol. The company also engages in the restaurant and tourism businesses.PT Jakarta International Hotels & Development Tbk was founded in 1969 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 515 2555,Indonesia,https://www.jihd.co.id,86400,Artha Graha Building,62 21 515 2526,Lodging,15th Floor Sudirman Central Business District Jalan Jenderal Sudirman Kav. 52 - 53,JIHD.JK,
12190,Financial Services,326.0,"PT Panin Sekuritas Tbk, together with its subsidiaries, provides securities brokerage, underwriting, and investment management services in Indonesia. The company was formerly known as PT. Nusamas Panin and changed its name to PT Panin Sekuritas Tbk in June 1995. PT Panin Sekuritas Tbk was founded in 1989 and is headquartered in Jakarta Selatan, Indonesia.",Jakarta Selatan,62 21 515 3055,Indonesia,https://www.pans.co.id,86400,Indonesia Stock Exchange Building,62 21 515 3061,Capital Markets,"Tower II, Suite 1705 17th Floor Jl. Jenderal Sudirman Kav. 52-53",PANS.JK,
12870,Industrials,42.0,"PT Trimuda Nuansa Citra Tbk engages in the freight and logistics businesses in Indonesia. The company offers goods delivery services by air with door-to-door service under the Garuda Express Delivery brand. It also provides courier and cargo services for the delivery of general, dangerous, medical, and valuable goods, as well as valuable documents and shipping using refrigerated trucks. In addition, the company offers freight forwarding and commercial post services, as well as rail, land, sea, and air transportation management services. PT Trimuda Nuansa Citra Tbk was founded in 1995 and is headquartered in Jakarta, Indonesia.",Jakarta,62 21 8370 3700,Indonesia,https://www.ged.co.id,86400,Wisma Intra Asia,62 21 8370 0023,Integrated Freight & Logistics,Ground Floor Jl. Prof Dr. Soepomo SH No.58 Jakarta Selatan,TNCA.JK,
14430,Consumer Cyclical,708.0,"PT Pembangunan Jaya Ancol Tbk, together with its subsidiaries, manages tourist area, travel show, and lodging areas in Indonesia. It operates through three segments: Tourism; Real Estate; and Trading and Services. The company manages entrance gates, recreational parks and beaches, fantasy world, swimming pool, animal shows, and lodging facilities, as well as engages in merchandise selling activities. It also develops, sells, and rents various real estate properties. In addition, the company is involved in souvenirs trading, marine transportation, and restaurant management activities; the purification, management, drainage, supply, and distribution of clean water; and the provision of highway construction and services, and consulting services. PT Pembangunan Jaya Ancol Tbk was founded in 1966 and is headquartered in Jakarta Utara, Indonesia.",Jakarta Utara,62 21 645 4567,Indonesia,https://www.ancol.com,86400,Ecovention Building - Ecopark,62 21 647 10502,Leisure,Jalan Lodan Timur No 7 Ancol Taman Impian Pademangan District,PJAA.JK,
10220,Consumer Cyclical,25.0,"PT Hotel Sahid Jaya International Tbk engages in the hotel and accommodation businesses in Indonesia. It also leases facilities related to the hotel business; and offers management and other services for hotel and tourism sectors. The company was founded in 1969 and is headquartered in Jakarta, Indonesia. PT Hotel Sahid Jaya International Tbk is a subsidiary of PT Empu Sahid International.",Jakarta,62 21 570 2431,Indonesia,https://www.pthsji.com,86400,Sahid Annex Building,62 21 570 2299,Lodging,"2nd Floor Southwing Jalan Jenderal Sudirman, No. 86",SHID.JK,
10220,Consumer Cyclical,8.0,"PT Arthavest Tbk, together with its subsidiaries, engages in the hospitality business in Central Jakarta. The company owns and operates the Redtop hotel & convention center, a 4-star business hotel with 390 rooms. Its Redtop hotel offers convention and banquet, meeting rooms, and business center, as well as sports center and spa. The company also provides information technology and payment system services, as well as sells computer hardware and software. The company was formerly known as PT Artha Securities Tbk. PT Arthavest Tbk was founded in 1990 and is based in Jakarta Pusat, Indonesia. PT Arthavest Tbk is a subsidiary of Lucas SH CN.",Jakarta Pusat,62 21 3111 6101,Indonesia,https://www.arthavest.com,86400,Sahid Sudirman Center,,Lodging,55th Floor Jl.Jend.Sudirman no.86,ARTA.JK,
15137,Industrials,863.0,"PT Jembo Cable Company Tbk manufactures and sells various wires and cables in Indonesia and internationally. It operates through Power Cable, Telephone Cable, and Others segments. The company provides low and medium voltage copper and aluminum cables; overhead transmission and distribution; telecommunication cables with copper and optic fiber conductors; instrumentation cables; control cables; airfield lighting cables; metal corrugated armoured cables; marine offshore cables; fire resistant and flame retardant cables; lead sheathed cables; and HDPE pipes and related equipment. It is also involved in the maintenance and repair of electrical and other communication network; and construction of pipe network for oil and gas. PT Jembo Cable Company Tbk was incorporated in 1973 and is headquartered in Tangerang, Indonesia. PT Jembo Cable Company Tbk is a subsidiary of PT Monaspermata Persada.",Tangerang,62 21 591 9442,Indonesia,https://www.jembo.co.id,86400,Jl. Pajajaran,62 21 5565 0466,Electrical Equipment & Parts,Kel. Gandasari - Jatiuwung,JECC.JK,
10220,Communication Services,664.0,"PT Mahaka Media Tbk, through its subsidiaries, operates as a multiplatform media company in Indonesia and internationally. It engages in making, selling, collecting, and distributing community contents through various platforms. The company publishes Harian Republika Daily, a Moslem newspaper; Republika Penerbit, which specializes in Islamic reference books, novels, and children stories; Golf Digest, a golf media, including e-magazine, e-newsletter, and social media, as well as golfdigest.id, a Website; and Harian Indonesia, a Chinese-language newspaper. It also provides Republika Media Visual, which offers content and program with Islamic background; Jak TV, a television station; and various commercial radio stations, including JAK 101 FM, GEN 98.7 FM Jakarta, GEN 103.1 FM, Surabaya, HOT 93.2 FM, Most Radio 105.8 FM, KIS 95.1 FM, and Mustang 88.0 FM. In addition, the company offers outdoor advertising media services under the Mahaka Advertising name; brand activation services under the Alive Indonesia name; and discount services under the CardPlus name. Further, it provides online services through Jak-tv.co.id, 98.7 GenFM.co.id, 101 JakFM.co.id, and Republika.co.id. The company was formerly known as PT Abdi Bangsa Tbk and changed its name to PT Mahaka Media Tbk in May 2010. PT Mahaka Media Tbk was founded in 1992 and is headquartered in Jakarta, Indonesia. PT Mahaka Media Tbk is a subsidiary of PT Beyond Media.",Jakarta,62 21 573 9203,Indonesia,https://www.mahakamedia.com,86400,Sahid Office Boutique,62 21 573 9210,Publishing,Blok G Jl. Jend Sudirman Kav. 86,ABBA.JK,
10120,Financial Services,614.0,"PT. Verena Multi Finance Tbk provides consumer finance and finance leasing services to individuals and financial institutions in Indonesia. The company offers financing for new and used cars; and investment and working capital financing services, as well as financial leasing for heavy equipment and production machines. It operates through 21 branches in Bandung, Bogor, Cikarang, Depok, Jakarta, Jambi, Kediri, Makassar, Malang, Medan, Palembang, Pekanbaru, Samarinda, Serang, Surabaya, and Tangerang cities. The company was formerly known as PT. Verena Oto Finance Tbk and changed its name to PT. Verena Multi Finance Tbk in January 2011. PT. Verena Multi Finance Tbk was founded in 1993 and is headquartered in Jakarta Pusat, Indonesia. PT. Verena Multi Finance Tbk is a subsidiary of Mizuho Leasing Company, Limited",Jakarta Pusat,62 21 350 4890,Indonesia,https://www.verena.co.id,86400,Bank Panin Building,62 21 350 4891,Credit Services,"3rd Floor Jalan Pecenongan No. 84 Kel. Kebon Kelapa, Kec. Gambir",VRNA.JK,
11560,Industrials,188.0,"PT Wintermar Offshore Marine Tbk supporting services for the offshore transportation for the oil and gas industry in Indonesia, Malaysia, Brunei, Myanmar, Thailand, India, Saudi Arabia, Nigeria, and Taiwan. The company operates through three segments: Charter of Own Vessels, Charter of Third Party Vessels, and Other Services. Its fleet includes platform supply vessels, anchor handling tug supply vessels, anchor handling tug vessels, fast utility vessels, fast multi-purpose supply vessels, azimuth stern drive tugs, utility vessels, heavy load barges, landing crafts, and tug boats. The company also offers rig moving and anchor handling, crew change and rig supply, firefighting and emergency rescue, air diving and remotely operated vehicle support, offshore windfarm installation support, pipe tailing support, seismic survey support, cable laying support, and harbor towage services. It owns and operates 38 vessels. The company was formerly known as PT Swakarya Mulia Shipping and changed its name to PT Wintermar Offshore Marine Tbk in September 2010. PT Wintermar Offshore Marine Tbk was founded in 1970 and is based in West Jakarta, Indonesia.",Jakarta Barat,62 21 530 5201,Indonesia,https://www.wintermar.com,86400,Jalan Kebayoran Lama No 155,62 21 530 5203,Marine Shipping,,WINS.JK,
